,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,ACATIC,66,0,0,0,0,0,66,2017
11,ACATLÁN DE JUÁREZ,14,0,0,0,0,0,14,2017
12,AHUALULCO DE MERCADO,116,0,0,0,0,0,116,2017
13,AMACUECA,10,0,0,0,0,0,10,2017
14,AMATITÁN,22,0,0,0,0,0,22,2017
15,AMECA,153,0,40,34,28,0,51,2017
16,ARANDAS,383,14,60,30,97,182,0,2017
17,ATEMAJAC DE BRIZUELA,59,19,0,8,22,0,10,2017
18,ATENGO,12,0,0,0,0,0,12,2017
19,ATENGUILLO,63,0,0,0,0,0,63,2017
20,ATOTONILCO EL ALTO,167,0,30,41,0,0,96,2017
21,ATOYAC,71,41,0,0,16,14,0,2017
22,AUTLÁN DE NAVARRO,411,0,32,174,143,62,0,2017
23,AYOTLÁN,44,0,0,44,0,0,0,2017
24,AYUTLA,84,0,0,0,0,0,84,2017
25,BOLAÑOS,43,0,0,25,10,8,0,2017
26,CABO CORRIENTES,128,3,29,59,16,0,21,2017
27,CAÑADAS DE OBREGÓN,40,0,0,0,0,0,40,2017
28,CASIMIRO CASTILLO,66,0,0,34,32,0,0,2017
29,CHAPALA,741,115,275,112,108,72,59,2017
30,CHIMALTITÁN,34,0,0,0,9,0,25,2017
31,CHIQUILISTLÁN,12,0,0,0,0,0,12,2017
32,CIHUATLÁN,2251,192,511,823,283,264,178,2017
33,COCULA,72,0,0,0,0,0,72,2017
34,COLOTLÁN,162,0,62,38,0,47,15,2017
35,CONCEPCIÓN DE BUENOS AIRES,76,0,0,0,0,0,76,2017
36,CUAUTITLÁN DE GARCÍA BARRAGÁN,2251,192,511,823,283,264,178,2017
37,CUAUTLA,29,0,0,0,20,0,9,2017
38,CUQUÍO,61,0,61,0,0,0,0,2017
39,DEGOLLADO,47,0,12,35,0,0,0,2017
40,EL ARENAL,66,0,0,0,0,0,66,2017
41,EL GRULLO,141,0,60,35,29,17,0,2017
42,EL LIMÓN,22,0,0,13,0,0,9,2017
43,EL SALTO,412,0,304,108,0,0,0,2017
44,ENCARNACIÓN DE DÍAZ,111,0,75,20,16,0,0,2017
45,ETZATLÁN,79,0,0,0,0,0,79,2017
46,GÓMEZ FARÍAS,44,0,0,0,0,0,44,2017
47,GUACHINANGO,39,0,0,0,0,0,39,2017
48,GUADALAJARA,17823,3406,6815,3166,3124,896,416,2017
49,HOSTOTIPAQUILLO,7,0,0,0,0,0,7,2017
50,HUEJÚCAR,42,0,0,0,0,0,42,2017
51,HUEJUQUILLA EL ALTO,68,0,0,60,8,0,0,2017
52,IXTLAHUACÁN DE LOS MEMBRILLOS,61,0,12,0,0,11,38,2017
53,IXTLAHUACÁN DEL RÍO,20,0,0,0,0,0,20,2017
54,JALOSTOTITLÁN,151,50,27,54,0,20,0,2017
55,JAMAY,78,0,0,0,15,26,37,2017
56,JESÚS MARÍA,12,0,0,0,0,0,12,2017
57,JILOTLÁN DE LOS DOLORES,6,0,0,0,0,0,6,2017
58,JOCOTEPEC,395,99,76,67,14,37,102,2017
59,JUCHITLÁN,6,0,0,0,6,0,0,2017
60,LA BARCA,356,0,0,125,53,109,69,2017
61,LA HUERTA,790,151,240,165,72,53,109,2017
62,LA MANZANILLA DE LA PAZ,114,0,0,0,0,0,114,2017
63,LAGOS DE MORENO,852,157,143,203,93,0,256,2017
64,MAGDALENA,133,0,0,0,0,0,133,2017
65,MASCOTA,355,51,79,114,78,33,0,2017
66,MAZAMITLA,869,115,233,133,10,0,378,2017
67,MEXTICACÁN,10,0,0,0,0,0,10,2017
68,MEZQUITIC,49,0,0,0,20,0,29,2017
69,MIXTLÁN,40,0,0,0,0,0,40,2017
70,OCOTLÁN,444,0,96,25,0,81,242,2017
71,OJUELOS DE JALISCO,158,0,0,0,0,0,158,2017
72,PIHUAMO,34,0,0,0,0,0,34,2017
73,PONCITLÁN,95,0,0,4,0,73,18,2017
74,PUERTO VALLARTA,23995,6465,4084,1597,664,381,10804,2017
75,QUITUPAN,16,0,0,0,0,0,16,2017
76,SAN DIEGO DE ALEJANDRÍA,45,0,0,19,0,0,26,2017
77,SAN GABRIEL,42,0,0,0,0,0,42,2017
78,SAN IGNACIO CERRO GORDO,114,0,0,0,0,0,114,2017
79,SAN JUAN DE LOS LAGOS,3708,539,435,871,799,975,89,2017
80,SAN JUANITO DE ESCOBEDO,4,0,0,0,0,0,4,2017
81,SAN JULIÁN,202,0,69,133,0,0,0,2017
82,SAN MARCOS,21,0,0,0,0,0,21,2017
83,SAN MARTÍN DE BOLAÑOS,22,0,0,0,12,10,0,2017
84,SAN MARTÍN HIDALGO,64,0,0,0,37,27,0,2017
85,SAN MIGUEL EL ALTO,169,0,104,35,0,30,0,2017
86,SAN PEDRO TLAQUEPAQUE,1088,298,215,575,0,0,0,2017
87,SAN SEBASTIÁN DEL OESTE,141,24,6,74,6,0,31,2017
88,SANTA MARÍA DEL ORO,11,0,0,0,0,0,11,2017
89,SAYULA,144,51,66,0,27,0,0,2017
90,TALA,122,0,0,0,0,0,122,2017
91,TALPA DE ALLENDE,1481,0,26,56,0,40,1359,2017
92,TAMAZULA DE GORDIANO,81,0,0,0,0,0,81,2017
93,TAPALPA,702,35,102,55,0,0,510,2017
94,TECALITLÁN,31,0,11,20,0,0,0,2017
95,TECOLOTLÁN,70,0,0,0,12,58,0,2017
