municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
BOLAÑOS,28,0,0,0,0,8,20,2013
CHIMALTITÁN,8,0,0,0,0,0,8,2013
COLOTLÁN,138,0,62,0,0,76,0,2013
HUEJÚCAR,41,0,0,0,0,41,0,2013
HUEJUQUILLA EL ALTO,77,0,0,60,0,0,17,2013
MEZQUITIC,52,0,21,0,9,0,22,2013
SAN MARTÍN DE BOLAÑOS,22,0,0,0,0,10,12,2013
TOTATICHE,119,0,0,0,0,5,114,2013
VILLA GUERRERO,18,0,0,0,0,0,18,2013
ENCARNACIÓN DE DÍAZ,162,0,9,82,71,0,0,2013
LAGOS DE MORENO,803,147,108,162,280,26,80,2013
OJUELOS DE JALISCO,132,9,0,0,0,18,105,2013
SAN DIEGO DE ALEJANDRÍA,123,0,0,6,0,92,25,2013
SAN JUAN DE LOS LAGOS,3787,210,560,776,681,1258,302,2013
TEOCALTICHE,70,0,0,0,44,16,10,2013
UNIÓN DE SAN ANTONIO,40,0,0,20,0,20,0,2013
VILLA HIDALGO,322,0,24,27,28,74,169,2013
ACATIC,79,0,0,0,53,10,16,2013
ARANDAS,328,23,37,122,116,30,0,2013
CAÑADAS DE OBREGÓN,14,0,0,0,0,0,14,2013
JALOSTOTITLÁN,129,0,0,32,38,40,19,2013
JESÚS MARÍA,36,0,0,0,0,0,36,2013
MEXTICACÁN,10,0,0,0,0,10,0,2013
SAN IGNACIO CERRO GORDO,6,0,6,0,0,0,0,2013
SAN JULIÁN,93,45,48,0,0,0,0,2013
SAN MIGUEL EL ALTO,94,0,62,0,0,0,32,2013
TEPATITLÁN DE MORELOS,545,0,295,163,48,0,39,2013
VALLE DE GUADALUPE,25,0,0,0,0,0,25,2013
YAHUALICA DE GONZÁLEZ GALLO,112,0,0,24,18,45,25,2013
ATOTONILCO EL ALTO,144,30,19,0,44,18,33,2013
AYOTLÁN,78,0,0,42,33,0,3,2013
CHAPALA,692,95,218,94,41,55,189,2013
DEGOLLADO,39,0,0,0,0,39,0,2013
JAMAY,87,0,0,0,15,18,54,2013
JOCOTEPEC,344,69,23,32,50,23,147,2013
LA BARCA,368,0,0,89,49,123,107,2013
OCOTLÁN,356,0,72,107,0,42,135,2013
PONCITLÁN,77,0,0,0,0,59,18,2013
TIZAPÁN EL ALTO,25,0,0,0,0,8,17,2013
TOTOTLÁN,25,0,0,0,0,0,25,2013
TUXCUECA,22,0,0,5,0,0,17,2013
ZAPOTLÁN DEL REY,20,5,0,0,0,0,15,2013
CONCEPCIÓN DE BUENOS AIRES,140,0,0,0,0,0,140,2013
LA MANZANILLA DE LA PAZ,85,0,10,26,9,15,25,2013
MAZAMITLA,558,39,119,106,30,53,211,2013
PIHUAMO,14,0,0,14,0,0,0,2013
QUITUPAN,16,0,0,16,0,0,0,2013
SANTA MARÍA DEL ORO,70,0,0,0,0,12,58,2013
TAMAZULA DE GORDIANO,101,0,0,32,24,27,18,2013
TECALITLÁN,65,0,0,0,0,48,17,2013
VALLE DE JUÁREZ,10,0,0,10,0,0,0,2013
AMACUECA,14,0,0,0,0,0,14,2013
ATEMAJAC DE BRIZUELA,29,0,0,0,0,0,29,2013
ATOYAC,24,15,0,0,0,0,9,2013
GÓMEZ FARÍAS,42,0,0,0,8,0,34,2013
SAN GABRIEL,28,0,0,0,10,0,18,2013
SAYULA,151,33,59,10,22,18,9,2013
TAPALPA,746,80,114,189,8,12,343,2013
TONILA,7,0,0,7,0,0,0,2013
TUXPAN,53,0,0,10,10,19,14,2013
ZACOALCO DE TORRES,70,0,0,0,0,34,36,2013
ZAPOTILTIC,84,0,0,0,20,12,52,2013
ZAPOTITLÁN DE VADILLO,10,0,0,0,0,0,10,2013
ZAPOTLÁN EL GRANDE,778,156,146,311,157,0,8,2013
ATENGO,15,0,0,0,0,0,15,2013
CHIQUILISTLÁN,17,0,0,0,0,0,17,2013
EL GRULLO,118,0,60,0,23,0,35,2013
EL LIMÓN,11,0,0,0,0,11,0,2013
JUCHITLÁN,8,0,0,0,0,0,8,2013
TECOLOTLÁN,79,0,0,0,0,58,21,2013
TENAMAXTLÁN,16,0,0,0,0,16,0,2013
TONAYA,9,0,0,0,0,0,9,2013
UNIÓN DE TULA,77,0,0,28,0,49,0,2013
AUTLÁN DE NAVARRO,329,0,0,161,32,83,53,2013
CASIMIRO CASTILLO,64,0,0,34,30,0,0,2013
CIHUATLÁN,2192,0,499,678,354,319,342,2013
CUAUTITLÁN DE GARCÍA BARRAGÁN,32,0,0,0,0,32,0,2013
LA HUERTA,796,135,264,46,70,47,234,2013
VILLA PURIFICACIÓN,80,0,0,0,60,10,10,2013
CABO CORRIENTES,125,3,0,63,45,0,14,2013
PUERTO VALLARTA,22962,5955,3416,1410,341,381,11459,2013
TOMATLÁN,152,27,32,0,26,0,67,2013
ATENGUILLO,5,0,0,0,0,5,0,2013
AYUTLA,39,0,0,0,0,21,18,2013
GUACHINANGO,13,0,0,0,0,0,13,2013
MASCOTA,255,37,61,61,24,0,72,2013
SAN SEBASTIÁN DEL OESTE,142,19,40,0,17,4,62,2013
TALPA DE ALLENDE,1041,0,25,134,69,257,556,2013
AHUALULCO DE MERCADO,70,24,8,0,0,9,29,2013
AMATITÁN,25,0,0,0,0,0,25,2013
AMECA,142,0,0,48,0,94,0,2013
COCULA,72,0,0,10,46,11,5,2013
EL ARENAL,40,0,0,0,0,0,40,2013
ETZATLÁN,56,0,11,21,0,13,11,2013
HOSTOTIPAQUILLO,24,0,0,0,0,0,24,2013
MAGDALENA,102,0,0,0,0,90,12,2013
SAN JUANITO DE ESCOBEDO,8,0,0,0,0,0,8,2013
SAN MARCOS,20,0,0,0,0,0,20,2013
SAN MARTÍN HIDALGO,62,0,0,0,8,31,23,2013
TALA,80,0,0,34,0,23,23,2013
TEQUILA,371,66,105,69,42,11,78,2013
TEUCHITLÁN,52,0,31,0,0,11,10,2013
CUQUÍO,42,0,0,32,10,0,0,2013
EL SALTO,168,0,156,0,0,0,12,2013
GUADALAJARA,15050,3336,4121,3000,540,1838,2215,2013
IXTLAHUACÁN DE LOS MEMBRILLOS,14,2,12,0,0,0,0,2013
IXTLAHUACÁN DEL RÍO,11,0,0,0,0,0,11,2013
SAN CRISTÓBAL DE LA BARRANCA,31,5,0,0,0,0,26,2013
SAN PEDRO TLAQUEPAQUE,2262,131,253,724,0,32,1122,2013
TLAJOMULCO DE ZÚÑIGA,423,6,135,10,0,0,272,2013
TONALÁ,361,0,0,230,0,53,78,2013
VILLA CORONA,182,0,0,0,0,20,162,2013
ZAPOPAN,4470,1067,1950,494,47,12,900,2013
ZAPOTLANEJO,177,0,36,5,71,32,33,2013
BOLAÑOS,28,0,0,0,0,8,20,2014
CHIMALTITÁN,8,0,0,0,0,0,8,2014
COLOTLÁN,138,0,62,0,0,76,0,2014
HUEJÚCAR,41,0,0,0,0,41,0,2014
HUEJUQUILLA EL ALTO,77,0,0,60,0,0,17,2014
MEZQUITIC,52,0,21,0,9,0,22,2014
SAN MARTÍN DE BOLAÑOS,22,0,0,0,0,10,12,2014
TOTATICHE,119,0,0,0,0,5,114,2014
VILLA GUERRERO,18,0,0,0,0,0,18,2014
ENCARNACIÓN DE DÍAZ,162,0,9,82,71,0,0,2014
LAGOS DE MORENO,803,147,108,162,280,26,80,2014
OJUELOS DE JALISCO,132,9,0,0,0,18,105,2014
SAN DIEGO DE ALEJANDRÍA,123,0,0,6,0,92,25,2014
SAN JUAN DE LOS LAGOS,3787,210,560,776,681,1258,302,2014
TEOCALTICHE,70,0,0,0,44,16,10,2014
UNIÓN DE SAN ANTONIO,40,0,0,20,0,20,0,2014
VILLA HIDALGO,322,0,24,27,28,74,169,2014
ACATIC,79,0,0,0,53,10,16,2014
ARANDAS,328,23,37,122,116,30,0,2014
CAÑADAS DE OBREGÓN,14,0,0,0,0,0,14,2014
JALOSTOTITLÁN,129,0,0,32,38,40,19,2014
JESÚS MARÍA,36,0,0,0,0,0,36,2014
MEXTICACÁN,10,0,0,0,0,10,0,2014
SAN IGNACIO CERRO GORDO,6,0,6,0,0,0,0,2014
SAN JULIÁN,93,45,48,0,0,0,0,2014
SAN MIGUEL EL ALTO,94,0,62,0,0,0,32,2014
TEPATITLÁN DE MORELOS,545,0,295,163,48,0,39,2014
VALLE DE GUADALUPE,25,0,0,0,0,0,25,2014
YAHUALICA DE GONZÁLEZ GALLO,112,0,0,24,18,45,25,2014
ATOTONILCO EL ALTO,144,30,19,0,44,18,33,2014
AYOTLÁN,78,0,0,42,33,0,3,2014
CHAPALA,692,95,218,94,41,55,189,2014
DEGOLLADO,39,0,0,0,0,39,0,2014
JAMAY,87,0,0,0,15,18,54,2014
JOCOTEPEC,344,69,23,32,50,23,147,2014
LA BARCA,368,0,0,89,49,123,107,2014
OCOTLÁN,356,0,72,107,0,42,135,2014
PONCITLÁN,77,0,0,0,0,59,18,2014
TIZAPÁN EL ALTO,25,0,0,0,0,8,17,2014
TOTOTLÁN,25,0,0,0,0,0,25,2014
TUXCUECA,22,0,0,5,0,0,17,2014
ZAPOTLÁN DEL REY,20,5,0,0,0,0,15,2014
CONCEPCIÓN DE BUENOS AIRES,140,0,0,0,0,0,140,2014
LA MANZANILLA DE LA PAZ,85,0,10,26,9,15,25,2014
MAZAMITLA,558,39,119,106,30,53,211,2014
PIHUAMO,14,0,0,14,0,0,0,2014
QUITUPAN,16,0,0,16,0,0,0,2014
SANTA MARÍA DEL ORO,70,0,0,0,0,12,58,2014
TAMAZULA DE GORDIANO,101,0,0,32,24,27,18,2014
TECALITLÁN,65,0,0,0,0,48,17,2014
VALLE DE JUÁREZ,10,0,0,10,0,0,0,2014
AMACUECA,14,0,0,0,0,0,14,2014
ATEMAJAC DE BRIZUELA,29,0,0,0,0,0,29,2014
ATOYAC,24,15,0,0,0,0,9,2014
GÓMEZ FARÍAS,42,0,0,0,8,0,34,2014
SAN GABRIEL,28,0,0,0,10,0,18,2014
SAYULA,151,33,59,10,22,18,9,2014
TAPALPA,746,80,114,189,8,12,343,2014
TONILA,7,0,0,7,0,0,0,2014
TUXPAN,53,0,0,10,10,19,14,2014
ZACOALCO DE TORRES,70,0,0,0,0,34,36,2014
ZAPOTILTIC,84,0,0,0,20,12,52,2014
ZAPOTITLÁN DE VADILLO,10,0,0,0,0,0,10,2014
ZAPOTLÁN EL GRANDE,778,156,146,311,157,0,8,2014
ATENGO,15,0,0,0,0,0,15,2014
CHIQUILISTLÁN,17,0,0,0,0,0,17,2014
EL GRULLO,118,0,60,0,23,0,35,2014
EL LIMÓN,11,0,0,0,0,11,0,2014
JUCHITLÁN,8,0,0,0,0,0,8,2014
TECOLOTLÁN,79,0,0,0,0,58,21,2014
TENAMAXTLÁN,16,0,0,0,0,16,0,2014
TONAYA,9,0,0,0,0,0,9,2014
UNIÓN DE TULA,77,0,0,28,0,49,0,2014
AUTLÁN DE NAVARRO,329,0,0,161,32,83,53,2014
CASIMIRO CASTILLO,64,0,0,34,30,0,0,2014
CIHUATLÁN,2192,0,499,678,354,319,342,2014
CUAUTITLÁN DE GARCÍA BARRAGÁN,32,0,0,0,0,32,0,2014
LA HUERTA,796,135,264,46,70,47,234,2014
VILLA PURIFICACIÓN,80,0,0,0,60,10,10,2014
CABO CORRIENTES,125,3,0,63,45,0,14,2014
PUERTO VALLARTA,22962,5955,3416,1410,341,381,11459,2014
TOMATLÁN,152,27,32,0,26,0,67,2014
ATENGUILLO,5,0,0,0,0,5,0,2014
AYUTLA,39,0,0,0,0,21,18,2014
GUACHINANGO,13,0,0,0,0,0,13,2014
MASCOTA,255,37,61,61,24,0,72,2014
SAN SEBASTIÁN DEL OESTE,142,19,40,0,17,4,62,2014
TALPA DE ALLENDE,1041,0,25,134,69,257,556,2014
AHUALULCO DE MERCADO,70,24,8,0,0,9,29,2014
AMATITÁN,25,0,0,0,0,0,25,2014
AMECA,142,0,0,48,0,94,0,2014
COCULA,72,0,0,10,46,11,5,2014
EL ARENAL,40,0,0,0,0,0,40,2014
ETZATLÁN,56,0,11,21,0,13,11,2014
HOSTOTIPAQUILLO,24,0,0,0,0,0,24,2014
