,municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
10,ACATIC,2,0,0,0,0,0,2,2018
11,ACATLÁN DE JUÁREZ,1,0,0,0,0,0,1,2018
12,AHUALULCO DE MERCADO,8,0,0,0,0,0,8,2018
13,AMACUECA,1,0,0,0,0,0,1,2018
14,AMATITÁN,2,0,0,0,0,2,0,2018
15,AMECA,6,0,1,2,1,0,2,2018
16,ARANDAS,11,1,2,1,3,4,0,2018
17,ATEMAJAC DE BRIZUELA,9,1,0,1,4,0,3,2018
18,ATENGO,1,0,0,0,0,0,1,2018
19,ATENGUILLO,6,0,0,0,0,0,6,2018
20,ATOTONILCO EL ALTO,9,0,1,2,0,0,6,2018
21,ATOYAC,5,3,0,0,1,1,0,2018
22,AUTLÁN DE NAVARRO,12,0,1,3,6,2,0,2018
23,AYOTLÁN,2,0,0,2,0,0,0,2018
24,AYUTLA,6,0,0,0,0,0,6,2018
25,BOLAÑOS,3,0,0,1,1,1,0,2018
26,CABO CORRIENTES,8,1,1,3,1,0,2,2018
27,CAÑADAS DE OBREGÓN,3,0,0,0,0,0,3,2018
28,CASIMIRO CASTILLO,2,0,0,1,1,0,0,2018
29,CHAPALA,49,5,15,8,13,5,3,2018
30,CHIMALTITÁN,2,0,0,0,1,0,1,2018
31,CHIQUILISTLÁN,1,0,0,0,0,0,1,2018
32,CIHUATLÁN,130,24,12,37,18,19,20,2018
33,COCULA,3,0,0,0,0,0,3,2018
34,COLOTLÁN,6,0,1,1,0,3,1,2018
35,CONCEPCIÓN DE BUENOS AIRES,5,0,0,0,0,0,5,2018
36,CUAUTITLÁN DE GARCÍA BARRAGÁN,130,24,12,37,18,19,20,2018
37,CUAUTLA,2,0,0,0,1,0,1,2018
38,CUQUÍO,2,0,2,0,0,0,0,2018
39,DEGOLLADO,2,0,1,1,0,0,0,2018
40,EL ARENAL,5,0,0,0,0,0,5,2018
41,EL GRULLO,6,0,1,2,2,1,0,2018
42,EL LIMÓN,2,0,0,1,0,0,1,2018
43,EL SALTO,4,0,3,1,0,0,0,2018
44,ENCARNACIÓN DE DÍAZ,6,0,4,1,1,0,0,2018
45,ETZATLÁN,6,0,0,0,0,0,6,2018
46,GÓMEZ FARÍAS,3,0,0,0,0,0,3,2018
47,GUACHINANGO,3,0,0,0,0,0,3,2018
48,GUADALAJARA,289,30,77,51,89,20,22,2018
49,HOSTOTIPAQUILLO,1,0,0,0,0,0,1,2018
50,HUEJÚCAR,3,0,0,0,0,3,0,2018
51,HUEJUQUILLA EL ALTO,3,0,0,2,1,0,0,2018
52,IXTLAHUACÁN DE LOS MEMBRILLOS,3,0,1,0,0,1,1,2018
53,IXTLAHUACÁN DEL RÍO,1,0,0,0,0,0,1,2018
54,JALOSTOTITLÁN,7,1,2,3,0,1,0,2018
55,JAMAY,5,0,0,0,1,2,2,2018
56,JESÚS MARÍA,1,0,0,0,0,0,1,2018
57,JILOTLÁN DE LOS DOLORES,1,0,0,0,0,0,1,2018
58,JOCOTEPEC,23,5,4,4,1,4,5,2018
59,JUCHITLÁN,1,0,0,0,1,0,0,2018
60,LA BARCA,14,0,0,6,2,4,2,2018
61,LA HUERTA,32,10,3,5,7,5,2,2018
62,LA MANZANILLA DE LA PAZ,8,0,0,0,0,0,8,2018
63,LAGOS DE MORENO,32,4,4,5,3,0,16,2018
64,MAGDALENA,5,0,0,0,0,0,5,2018
65,MASCOTA,32,2,5,13,9,3,0,2018
66,MAZAMITLA,62,3,10,11,1,0,37,2018
67,MEXTICACÁN,1,0,0,0,0,0,1,2018
68,MEZQUITIC,4,0,0,0,1,0,3,2018
69,MIXTLÁN,4,0,0,0,0,0,4,2018
70,OCOTLÁN,20,0,3,2,0,5,10,2018
