municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
BOLAÑOS,3,0,0,0,0,1,2,2013
CHIMALTITÁN,1,0,0,0,0,0,1,2013
COLOTLÁN,2,0,1,0,0,1,0,2013
HUEJÚCAR,4,0,0,0,0,4,0,2013
HUEJUQUILLA EL ALTO,4,0,0,2,0,0,2,2013
MEZQUITIC,4,0,1,0,1,0,2,2013
SAN MARTÍN DE BOLAÑOS,2,0,0,0,0,1,1,2013
TOTATICHE,7,0,0,0,0,1,6,2013
VILLA GUERRERO,1,0,0,0,0,0,1,2013
ENCARNACIÓN DE DÍAZ,8,0,0,3,4,0,1,2013
LAGOS DE MORENO,30,2,2,6,4,1,15,2013
OJUELOS DE JALISCO,7,0,0,0,0,1,6,2013
SAN DIEGO DE ALEJANDRÍA,6,0,0,0,0,2,4,2013
SAN JUAN DE LOS LAGOS,106,4,10,21,20,34,17,2013
TEOCALTICHE,5,0,0,1,3,0,1,2013
UNIÓN DE SAN ANTONIO,3,0,0,1,0,2,0,2013
VILLA HIDALGO,14,0,2,1,1,3,7,2013
ACATIC,5,0,0,0,1,1,3,2013
ARANDAS,11,2,1,4,3,1,0,2013
CAÑADAS DE OBREGÓN,1,0,0,0,0,0,1,2013
JALOSTOTITLÁN,7,0,0,2,2,2,1,2013
JESÚS MARÍA,3,0,0,0,0,0,3,2013
MEXTICACÁN,1,0,0,0,0,1,0,2013
SAN IGNACIO CERRO GORDO,2,0,0,0,2,0,0,2013
SAN JULIÁN,2,1,1,0,0,0,0,2013
SAN MIGUEL EL ALTO,4,0,2,0,0,0,2,2013
TEPATITLÁN DE MORELOS,19,0,7,5,3,0,4,2013
VALLE DE GUADALUPE,1,0,0,0,0,0,1,2013
YAHUALICA DE GONZÁLEZ GALLO,5,0,0,1,1,2,1,2013
ATOTONILCO EL ALTO,7,1,1,0,2,0,3,2013
AYOTLÁN,6,0,0,3,2,0,1,2013
CHAPALA,52,2,13,9,8,7,13,2013
DEGOLLADO,2,0,0,0,0,2,0,2013
JAMAY,5,0,0,0,1,1,3,2013
JOCOTEPEC,22,4,3,4,1,2,8,2013
LA BARCA,34,0,4,8,2,8,12,2013
OCOTLÁN,20,0,3,5,0,3,9,2013
