,municipio,Agencias de viajes,Balnearios,Campos de golf,Empresas arrendadoras de automóviles,Marinas turísticas,Muelles de atraque,Transportadoras turísticas especializadas,año
9,Estado,816,157,16,104,2,16,531,2013
10,I Norte,9,9,0,0,0,0,0,2013
11,Chimaltitán,0,2,0,0,0,0,0,2013
12,Colotlán,3,3,0,0,0,0,0,2013
13,Huejúcar,2,1,0,0,0,0,0,2013
14,Huejuquilla el Alto,1,1,0,0,0,0,0,2013
15,Mezquitic,1,0,0,0,0,0,0,2013
16,San Martín de Bolaños,0,1,0,0,0,0,0,2013
17,Santa María de los Ángeles,0,1,0,0,0,0,0,2013
18,Totatiche,1,0,0,0,0,0,0,2013
19,Villa Guerrero,1,0,0,0,0,0,0,2013
20,II Altos Norte,39,20,1,0,0,0,0,2013
21,Encarnación de Díaz,6,7,0,0,0,0,0,2013
22,Lagos de Moreno,15,9,1,0,0,0,0,2013
23,San Diego de Alejandría,2,0,0,0,0,0,0,2013
24,San Juan de los Lagos,8,2,0,0,0,0,0,2013
25,Teocaltiche,5,0,0,0,0,0,0,2013
26,Unión de San Antonio,2,1,0,0,0,0,0,2013
27,Villa Hidalgo,1,1,0,0,0,0,0,2013
28,III Altos Sur,60,13,1,0,0,0,1,2013
29,Acatic,3,0,0,0,0,0,0,2013
30,Arandas,11,1,0,0,0,0,0,2013
31,Cañadas de Obregón,1,3,0,0,0,0,0,2013
32,Jalostotitlán,4,1,0,0,0,0,0,2013
33,Jesús María,4,0,0,0,0,0,0,2013
34,Mexticacán,2,1,0,0,0,0,0,2013
35,San Ignacio Cerro Gordo,1,0,0,0,0,0,0,2013
36,San Julián,1,1,0,0,0,0,0,2013
37,San Miguel el Alto,4,0,0,0,0,0,0,2013
38,Tepatitlán de Morelos,22,5,1,0,0,0,1,2013
39,Valle de Guadalupe,3,0,0,0,0,0,0,2013
40,Yahualica de González Gallo,4,1,0,0,0,0,0,2013
41,IV Ciénega,49,22,3,3,0,0,89,2013
42,Atotonilco el Alto,7,4,0,0,0,0,0,2013
43,Ayotlán,3,3,0,0,0,0,0,2013
44,Chapala,4,2,2,2,0,0,40,2013
45,Degollado,5,3,0,0,0,0,0,2013
46,Jamay,3,1,0,0,0,0,11,2013
47,Jocotepec,2,3,0,0,0,0,1,2013
48,La Barca,5,3,0,1,0,0,0,2013
49,Ocotlán,8,2,1,0,0,0,0,2013
50,Poncitlán,6,0,0,0,0,0,32,2013
51,Tizapán el Alto,2,1,0,0,0,0,3,2013
52,Tototlán,3,0,0,0,0,0,0,2013
53,Tuxcueca,0,0,0,0,0,0,1,2013
