Año,Categoria,1 Estrella,2 Estrellas,3 Estrellas,4 Estrellas,5 Estrellas,Sin Categoría
2013,Cuartos ,5411.0,3497.0,9798.0,12343.0,11641.0,19525.0
2013,Establecimientos ,219.0,151.0,262.0,202.0,106.0,665.0
2014,Cuartos ,5577.0,3564.0,9596.0,12825.0,11789.0,19933.0
2014,Establecimientos ,229.0,150.0,256.0,205.0,108.0,669.0
2015,Cuartos ,6430.0,3797.0,10905.0,14762.0,11439.0,18746.0
2015,Establecimientos ,251.0,160.0,280.0,220.0,109.0,664.0
2016,Cuartos ,3758.0,6237.0,11173.0,17299.0,13900.0,18620.0
2016,Establecimientos ,155.0,240.0,337.0,275.0,166.0,679.0
2017,Cuartos ,4177.0,6761.0,13028.0,19508.0,13704.0,18244.0
2017,Establecimientos ,181.0,281.0,360.0,308.0,204.0,704.0
2018,Cuartos ,4177.0,6761.0,13028.0,19508.0,13704.0,18244.0
2018,Establecimientos ,181.0,281.0,360.0,308.0,204.0,704.0
2019,Cuartos ,5269.0,5142.0,12900.0,18910.0,14757.0,19427.0
2019,Establecimientos ,198.0,240.0,380.0,293.0,179.0,915.0
2020,Cuartos ,5527.0,5309.0,12614.0,18654.0,14336.0,22093.0
2020,Establecimientos ,206.0,238.0,372.0,301.0,163.0,1348.0
2021,Cuartos ,5523.0,5383.0,12708.0,19834.0,13915.0,21606.0
2021,Establecimientos ,214.0,245.0,387.0,313.0,156.0,1329.0
2022,Cuartos ,5424.0,5349.0,13390.0,20031.0,15905.0,21967.0
2022,Establecimientos ,208.0,246.0,408.0,324.0,164.0,1389.0
2023,Cuartos ,5198.0,5368.0,13756.0,20354.0,15962.0,22140.0
2023,Establecimientos ,207.0,253.0,431.0,326.0,165.0,1439.0
